wall_time_iso,step,left_ft_joint,right_ft_joint
2026-02-27T10:39:46.100,0,"[0.0007116181077435613, 0.0010105762630701065, 0.0017910330789163709, -2.0763269503731863e-07, -1.47652006177168e-08, -7.139250612908654e-08]","[0.0011340125929564238, 0.0007536720368079841, 0.0017799143679440022, -1.7338918212317367e-07, 4.145964993540474e-08, -7.148631908648895e-08]"
2026-02-27T10:39:46.371,1,"[0.0011597941629588604, 0.0007018297328613698, 0.0007206365698948503, -9.422991809060477e-08, 1.5259854535543127e-07, 5.114859291666107e-08]","[0.0011368055129423738, 0.0006670356378890574, 0.0007582036196254194, -8.967955267280558e-08, 1.4937448611362925e-07, 5.0904620962910485e-08]"
2026-02-27T10:39:46.427,2,"[0.0013032171409577131, 0.0005076276138424873, 0.00034756638342514634, -2.9239270560310615e-08, 1.6868597185748513e-07, 2.44255573988994e-07]","[0.0013055098243057728, 0.0006259848596528172, 0.00038192575448192656, -4.5059657338697434e-08, 1.6884013120943564e-07, 2.4475525606248993e-07]"
2026-02-27T10:39:46.484,3,"[0.0008318809559568763, 0.00045999675057828426, 0.00026210772921331227, -3.568544570953236e-08, 1.1344742745222902e-07, 1.6985579520678584e-07]","[0.0008274641586467624, 0.0005851599853485823, 0.00031030538957566023, -5.244838163775967e-08, 1.1264631893936894e-07, 1.7038188104834262e-07]"
2026-02-27T10:39:46.561,4,"[-0.0001477875339332968, 0.0004563982365652919, 0.0002521541900932789, -5.737750896628313e-08, -1.1550795875336917e-08, -7.806723267833604e-09]","[-0.00017286655202042311, 0.0005340192001312971, 0.0002886245783884078, -6.778787309258405e-08, -1.5050401813709868e-08, -7.518055511468447e-09]"
2026-02-27T10:39:46.624,5,"[-0.0001566227583680302, 0.0003998848842456937, 0.00017836556071415544, -6.084053438826231e-08, -6.480601388858531e-09, -1.2697054962984566e-08]","[-0.00021005660528317094, 0.00043430019286461174, 0.00021304194524418563, -6.550187947595987e-08, -1.3743196802806779e-08, -1.2673191385204063e-08]"
2026-02-27T10:39:46.683,6,"[-0.00017463510448578745, 0.00033594961860217154, 0.0001035172026604414, -5.882062481532557e-08, -1.924565173894166e-09, -1.82277624105609e-08]","[-0.00025550220743753016, 0.00033950802753679454, 0.00013612206385005265, -5.93746385391114e-08, -1.2826377293606583e-08, -1.8410963420478765e-08]"
2026-02-27T10:39:46.748,7,"[-0.0002021247346419841, 0.0002731607819441706, 2.1890162315685302e-05, -5.08238429119956e-08, -4.407884335311252e-10, -2.394445175468718e-08]","[-0.00030064614838920534, 0.0002638655132614076, 4.8604186304146424e-05, -4.965549038615791e-08, -1.3664127607171395e-08, -2.422925682310506e-08]"
2026-02-27T10:39:46.808,8,"[-0.0002486862358637154, 0.00022452094708569348, -6.404677696991712e-05, -3.91728285364934e-08, -4.575018142105591e-09, -2.9921057631554504e-08]","[-0.0003516282595228404, 0.00021969369845464826, -4.6053108235355467e-05, -3.8578871652816815e-08, -1.8347197539014815e-08, -3.0195970168733766e-08]"
2026-02-27T10:39:46.864,9,"[-0.00030456791864708066, 0.00019361697195563465, -0.00015518817235715687, -2.470658522213398e-08, -1.4425930672246068e-08, -3.517746094416907e-08]","[-0.0003947136865463108, 0.00021242740331217647, -0.0001457500329706818, -2.7237213373609848e-08, -2.645791674638076e-08, -3.531285486246816e-08]"
2026-02-27T10:39:46.924,10,"[-0.0003575711452867836, 0.0001877240720205009, -0.00023732070985715836, -1.1811312816689679e-08, -2.7745477026996923e-08, -3.814628968257239e-08]","[-0.0004217821406200528, 0.00023937095829751343, -0.0002334276941837743, -1.8697408066259413e-08, -3.630328748727152e-08, -3.8067781815698254e-08]"
2026-02-27T10:39:46.980,11,"[-0.0003983396163675934, 0.00021560830646194518, -0.0003019273281097412, -4.811749665378784e-09, -4.2815656797756674e-08, -3.81096363355482e-08]","[-0.0004254055384080857, 0.00029915329650975764, -0.00029310182435438037, -1.595467757908864e-08, -4.6455117086452447e-08, -3.779325652430998e-08]"
2026-02-27T10:39:47.039,12,"[-0.00041542836697772145, 0.00028044634382240474, -0.0003063375479541719, -7.207233920780709e-09, -5.6353474775505674e-08, -3.4650213365239324e-08]","[-0.0004004755464848131, 0.00038422326906584203, -0.0003103567869402468, -2.100874496591132e-08, -5.4347097488971485e-08, -3.4136274251750365e-08]"
2026-02-27T10:39:47.097,13,"[-0.0003893970570061356, 0.00038756601861678064, -0.0003425669274292886, -1.6185616402708547e-08, -6.09382553307114e-08, -2.287967504344124e-08]","[-0.000344340514857322, 0.0005107654142193496, -0.00034711038460955024, -3.257034464354547e-08, -5.4925571646435856e-08, -2.2203050065172647e-08]"
2026-02-27T10:39:47.154,14,"[-0.00034870620584115386, 0.0005289849941618741, -0.0003090530226472765, -3.997476483164064e-08, -6.645678496397522e-08, -1.9898804382023627e-08]","[-0.0002609150542411953, 0.0006353036151267588, -0.00030703077209182084, -5.413047787783398e-08, -5.478970876993117e-08, -1.9189981159684066e-08]"
2026-02-27T10:39:47.212,15,"[-0.00019380313460715115, 0.0006658329511992633, -0.00026252344832755625, -6.830320131712142e-08, -5.0596799638924495e-08, -6.931593965475713e-09]","[-8.647479262435809e-05, 0.0007375840214081109, -0.0002564673777669668, -7.787074451925946e-08, -3.6348964727039856e-08, -6.331603241704897e-09]"
2026-02-27T10:39:47.269,16,"[-6.06679577686009e-06, 0.0007819222519174218, -0.00023233079991769046, -9.138580026046839e-08, -2.6705048838948642e-08, 7.140637858782384e-09]","[0.00010715274402173236, 0.0008275290601886809, -0.00022573584283236414, -9.747699891704542e-08, -1.1675648892151003e-08, 7.63388463553838e-09]"
2026-02-27T10:39:47.327,17,"[0.0001877665490610525, 0.0008633313118480146, -0.00021325367561075836, -1.0812089357159493e-07, -6.442940070350289e-10, 2.0071981410296758e-08]","[0.00030106291524134576, 0.000887896865606308, -0.00020502516417764127, -1.1141748501586335e-07, 1.4388565006129284e-08, 2.0466247363515322e-08]"
2026-02-27T10:39:47.384,18,"[0.00041173837962560356, 0.0009200571803376079, -0.00019458432507235557, -1.2071066635144234e-07, 3.033198936464032e-08, 4.676888565313675e-08]","[0.0005208687507547438, 0.0009258221834897995, -0.00018534301489125937, -1.2150897532592353e-07, 4.480681781160456e-08, 4.706251033326225e-08]"
2026-02-27T10:39:47.442,19,"[0.0005210207891650498, 0.0009205276146531105, -0.0001707505580270663, -1.2467326371279341e-07, 4.820489607482159e-08, 4.0363492104233956e-08]","[0.0006121793994680047, 0.0009103472111746669, -0.00016119600331876427, -1.2335094368154387e-07, 6.0288328995739e-08, 4.053730151554191e-08]"
2026-02-27T10:39:47.499,20,"[0.0006658908678218722, 0.0009262182284146547, -0.00013522976951207966, -1.2951657879511913e-07, 6.966820365050808e-08, 6.410878228280126e-08]","[0.0007437552558258176, 0.0009007118060253561, -0.00012561817129608244, -1.261551005882211e-07, 7.998360729288834e-08, 6.417639042410883e-08]"
2026-02-27T10:39:47.557,21,"[0.0008121905848383904, 0.000973585294559598, -6.6390770371072e-05, -1.4273443582624168e-07, 9.027397140926041e-08, 1.1091420759612447e-07]","[0.0008780223433859646, 0.0009246958652511239, -5.637437789118849e-05, -1.362622583656048e-07, 9.898742092673274e-08, 1.1084289042173623e-07]"
2026-02-27T10:39:47.614,22,"[4.33618770330213e-05, 0.0004461747594177723, -8.980732673080638e-05, -5.627313370837328e-08, -8.04317679126143e-09, -1.555580695367098e-07]","[8.882230758899823e-05, 0.0004592026525642723, -8.604792674304917e-05, -5.80191965582344e-08, -2.013339717166218e-09, -1.5538445552465419e-07]"
2026-02-27T10:39:47.670,23,"[-0.00027456184034235775, 0.00030229674302972853, -8.75897821970284e-05, -2.9469099160905898e-08, -5.1476309437248347e-08, -1.9163245212894253e-07]","[-0.00019388279179111123, 0.0003387914039194584, -7.800187449902296e-05, -3.435054551914618e-08, -4.078935944562545e-08, -1.9125631922634057e-07]"
2026-02-27T10:39:47.728,24,"[-0.000198445311980322, 0.000623620580881834, -3.457054845057428e-06, -8.232050419110237e-08, -2.7685587156156544e-08, -6.168573207787631e-08]","[-0.00013564323307946324, 0.0006141999620012939, 1.1672038453980349e-05, -8.110787064197211e-08, -1.9401035444843728e-08, -6.156118104172492e-08]"
2026-02-27T10:39:47.785,25,"[-0.00012400976265780628, 0.0008164421888068318, 0.00017297379963565618, -1.24908353882347e-07, -9.779866694259454e-09, 2.936978127365819e-08]","[-8.989165507955477e-05, 0.0007521674851886928, 0.00018504899344407022, -1.1638802277502691e-07, -5.296980187807776e-09, 2.9175030391570544e-08]"
2026-02-27T10:39:47.843,26,"[-0.00024191646662075073, 0.0008342997753061354, 0.0002850086020771414, -1.323172966749553e-07, -3.753472199718999e-08, 3.6138704473387406e-08]","[-0.00017082004342228174, 0.0007763321045786142, 0.00028502309578470886, -1.246021099632344e-07, -2.8080540559471956e-08, 3.6069224051971105e-08]"
2026-02-27T10:39:47.902,27,"[-0.003233895869925618, -0.004991591442376375, 0.002033003605902195, 1.8995471009475295e-06, -3.4402387427689973e-06, -9.294138180848677e-06]","[-0.0003006638144142926, 0.0007913149311207235, 0.00019512155267875642, -1.1295460211613317e-07, -8.501518777848105e-08, -1.0819483975410549e-08]"
2026-02-27T10:39:47.962,28,"[-0.0014941688859835267, 0.0009556452860124409, 0.002314669545739889, -9.744149309653949e-08, -3.3094985951720446e-07, -5.300157113197201e-07]","[-0.0009761492838151753, 0.0010771778179332614, 0.001489371294155717, -1.1145148448576947e-07, -2.5837775297077314e-07, -5.281152652969467e-07]"
2026-02-27T10:39:48.019,29,"[0.0002101013669744134, 0.000556508603040129, 0.005432989448308945, -7.459189532710297e-08, 2.4742149662415613e-08, -3.103418464434071e-07]","[0.0002677892043720931, 0.0005739060579799116, 0.000876487058121711, -6.520521367292531e-08, 5.275403935911527e-08, -3.1012208978609124e-07]"
2026-02-27T10:39:48.078,30,"[0.0001051774961524643, 0.00011611780792009085, -0.0003899324219673872, 4.625693605930792e-08, -5.6430334183232844e-08, -7.887502562198279e-08]","[0.0003734382626134902, 0.000271510798484087, -0.0009692298481240869, 2.7046898054550184e-08, -1.8162319648240555e-08, -7.750342945200828e-08]"
2026-02-27T10:39:48.136,31,"[9.307141590397805e-05, 0.0007152687758207321, -0.0007341392920352519, -6.797232288136001e-08, -7.129712931153165e-10, 6.511189365454584e-09]","[0.00011321902275085449, 0.000708333682268858, -0.0004983824910596013, -6.768015481384282e-08, 9.101930875665687e-10, 6.536530428036258e-09]"
2026-02-27T10:39:48.196,32,"[-0.8864884376525879, 2.2766306400299072, -6.650520324707031, 0.05729811638593674, 0.011775837279856205, -0.009779635816812515]","[0.5837841033935547, -0.6274216175079346, 2.107212543487549, 0.0013277591206133366, -0.000103798731288407, -0.0002552166988607496]"
2026-02-27T10:39:48.261,33,"[2.0629262924194336, 2.397439479827881, -7.689153671264648, 0.06871382892131805, 0.001329038292169571, -0.00317270471714437]","[0.6069104075431824, 1.6793699264526367, 2.955310344696045, 0.02806088887155056, 0.0007269459892995656, -0.00042729321285150945]"
2026-02-27T10:39:48.323,34,"[1.387789249420166, 2.856416702270508, -7.644434928894043, 0.06837362796068192, 0.0014539894182235003, -0.0025435364805161953]","[0.4416847229003906, 1.738324761390686, 3.027961492538452, 0.02860451675951481, 0.0007379746530205011, -0.0009597745374776423]"
2026-02-27T10:39:48.383,35,"[0.14517638087272644, 3.106339454650879, -7.436237335205078, 0.0665501207113266, 0.0016078413464128971, -8.132726361509413e-05]","[0.03965671733021736, 1.686504602432251, 2.8753979206085205, 0.027077656239271164, 0.000669417786411941, -0.0010498398914933205]"
2026-02-27T10:39:48.443,36,"[-2.1845908164978027, 2.2859697341918945, -7.124659061431885, 0.06442929059267044, 0.0017301141051575541, 0.0010423075873404741]","[0.4602210521697998, -1.1979689598083496, 3.203713893890381, 0.0292317233979702, 0.0009095562272705138, 0.003882689867168665]"
2026-02-27T10:39:48.503,37,"[-3.3637406826019287, 0.520041286945343, -7.0629448890686035, 0.0637417733669281, -0.011230934411287308, 0.0009507373906672001]","[-0.9220519065856934, 1.3832995891571045, 2.975050210952759, 0.02737078256905079, -0.005136022809892893, 0.0007967696874402463]"
2026-02-27T10:39:48.563,38,"[-3.3698439598083496, -0.19340702891349792, -6.946369171142578, 0.0628214105963707, -0.010912117548286915, 0.003757285652682185]","[-1.2448066473007202, 1.0628944635391235, 2.980145215988159, 0.027412174269557, -0.0051995133981108665, 0.0009350857581011951]"
2026-02-27T10:39:48.624,39,"[-3.2918033599853516, -0.6830162405967712, -6.851850986480713, 0.062036365270614624, -0.01086718961596489, 0.0026817170437425375]","[-1.4462467432022095, 0.7090480327606201, 2.981018304824829, 0.02740287408232689, -0.005245329812169075, 0.0007845294894650578]"
2026-02-27T10:39:48.683,40,"[-3.135854482650757, -1.1931118965148926, -6.771191596984863, 0.061406027525663376, -0.010891485027968884, 0.001386155840009451]","[-1.5283591747283936, 0.41771095991134644, 2.9691195487976074, 0.02727905660867691, -0.005261590704321861, 0.0006940074963495135]"
2026-02-27T10:39:48.745,41,"[-1.3769867420196533, 3.122885227203369, -7.604659080505371, 0.057328589260578156, 0.002396357012912631, 0.0010835083667188883]","[-1.9644434452056885, 0.2110840082168579, 3.7371110916137695, 0.03431830555200577, -0.006655784789472818, 0.0008319882908836007]"
2026-02-27T10:39:48.806,42,"[-1.1846996545791626, 3.0513086318969727, -7.1881561279296875, 0.05598519742488861, 0.009912741370499134, 0.002408448839560151]","[-2.0360500812530518, -0.10165000706911087, 3.813382625579834, 0.035741597414016724, 0.00035424932138994336, 0.0009848119225353003]"
2026-02-27T10:39:48.865,43,"[-0.8838669061660767, 2.793721914291382, -6.300438404083252, 0.04989046975970268, 0.015577476471662521, 0.0024686104152351618]","[-1.621801733970642, -0.3527260720729828, 3.0612664222717285, 0.0281684473156929, 0.005552566144615412, 0.0009511283715255558]"
2026-02-27T10:39:48.925,44,"[-2.2592499256134033, -1.9196958541870117, -6.415303707122803, 0.053422171622514725, 0.02234261855483055, 0.002235551830381155]","[-1.6129179000854492, -0.5434011220932007, 3.0923526287078857, 0.026834508404135704, 0.01073384378105402, 0.0011155976681038737]"
2026-02-27T10:39:48.984,45,"[-2.356095790863037, -1.78226900100708, -6.39776611328125, 0.05329471826553345, 0.02217375673353672, 0.0021881067659705877]","[-1.585511326789856, -0.4695510268211365, 3.0175015926361084, 0.026174036785960197, 0.01041680108755827, 0.0010585057316347957]"
2026-02-27T10:39:49.044,46,"[-2.443270683288574, -1.727626919746399, -6.413691520690918, 0.053560104221105576, 0.022152328863739967, 0.0019875599537044764]","[-1.565233588218689, -0.35991907119750977, 2.9642720222473145, 0.02565723843872547, 0.010155651718378067, 0.0009602300706319511]"
2026-02-27T10:39:49.104,47,"[-0.9762306213378906, 2.6061313152313232, -5.84128999710083, 0.04762972891330719, 0.020686708390712738, 0.002668766537681222]","[-1.3163862228393555, -0.2185484915971756, 2.496184825897217, 0.021538862958550453, 0.008495500311255455, 0.000713863002602011]"
2026-02-27T10:39:49.163,48,"[-2.4021332263946533, -1.5574039220809937, -6.022637367248535, 0.0453006885945797, 0.029698675498366356, 0.0009891969384625554]","[-1.316872239112854, -0.18737927079200745, 2.4926886558532715, 0.019249113276600838, 0.01223118044435978, 0.0008697385201230645]"
2026-02-27T10:39:49.225,49,"[-2.4191761016845703, -1.7176389694213867, -6.071399688720703, 0.04590354114770889, 0.03017774038016796, 0.0005233586998656392]","[-1.3168649673461914, -0.06706073880195618, 2.508254051208496, 0.019300034269690514, 0.01231946237385273, 0.0006381835555657744]"
2026-02-27T10:39:49.286,50,"[-2.350647449493408, -1.954527735710144, -6.093795299530029, 0.04631785675883293, 0.030576931312680244, -1.751269337546546e-05]","[-1.309091329574585, 0.06134970858693123, 2.5074658393859863, 0.019206348806619644, 0.012337442487478256, 0.00042065003071911633]"
2026-02-27T10:39:49.347,51,"[-2.183480978012085, -2.25811505317688, -6.084386825561523, 0.046411268413066864, 0.03077254816889763, -0.00037712694029323757]","[-1.297006607055664, 0.13530084490776062, 2.4933743476867676, 0.01902719773352146, 0.012295251712203026, -0.0001311704982072115]"
2026-02-27T10:39:49.409,52,"[-1.7417752742767334, -2.7203211784362793, -6.055225849151611, 0.046424370259046555, 0.03091871365904808, -0.000295794103294611]","[-1.2289855480194092, 0.45727112889289856, 2.4510557651519775, 0.018693281337618828, 0.012204596772789955, -9.294332994613796e-05]"
2026-02-27T10:39:49.469,53,"[-1.787555456161499, -2.700173854827881, -6.013206481933594, 0.04610614478588104, 0.030893970280885696, -0.00030092455563135445]","[-1.10237455368042, 0.7371183037757874, 2.4134771823883057, 0.018415993079543114, 0.012180821038782597, 7.737093255855143e-05]"
2026-02-27T10:39:49.531,54,"[-2.0533041954040527, -2.4567439556121826, -5.983485698699951, 0.045712053775787354, 0.03084625117480755, -0.0006106231594458222]","[-0.9912412762641907, 0.9185209274291992, 2.403942346572876, 0.018347635865211487, 0.012285422533750534, -9.400382987223566e-05]"
2026-02-27T10:39:49.591,55,"[-2.5541493892669678, -1.6875293254852295, -5.964463710784912, 0.04506763815879822, 0.030642369762063026, -0.0009074434638023376]","[-0.9183045029640198, 1.02521812915802, 2.4076735973358154, 0.01837659254670143, 0.012439673766493797, -0.00023959961254149675]"
2026-02-27T10:39:49.651,56,"[-2.8077707290649414, -0.4269934594631195, -5.964986801147461, 0.04434505105018616, 0.03040395677089691, -0.00032460232614539564]","[-0.9000808000564575, 1.0770487785339355, 2.4270551204681396, 0.01852031983435154, 0.012651525437831879, -0.0003120123001281172]"
2026-02-27T10:39:49.712,57,"[-2.096433639526367, 1.611055612564087, -6.095506191253662, 0.045595522969961166, 0.02897750958800316, -0.0018807451706379652]","[-0.772240400314331, 1.1968895196914673, 2.4838345050811768, 0.01935286447405815, 0.0122830830514431, -0.0014404675457626581]"
2026-02-27T10:39:49.774,58,"[-1.7904443740844727, 1.9402111768722534, -6.140820503234863, 0.04583890363574028, 0.029310867190361023, 0.0012161616468802094]","[-1.28934645652771, 0.7694688439369202, 2.67561674118042, 0.020850246772170067, 0.013121961615979671, 0.0006157421739771962]"
2026-02-27T10:39:49.834,59,"[-1.9327752590179443, 1.8950200080871582, -6.227537155151367, 0.037277109920978546, 0.031529538333415985, 0.00036894355434924364]","[-1.4541666507720947, 0.7274172902107239, 2.9169464111328125, 0.022685406729578972, 0.014320096001029015, 0.0005594661924988031]"
2026-02-27T10:39:49.896,60,"[-2.159921169281006, 1.749595284461975, -6.313959121704102, 0.028231164440512657, 0.03379865735769272, -0.0011118490947410464]","[-1.575390100479126, 0.5577279925346375, 3.0475969314575195, 0.023624930530786514, 0.014951304532587528, 0.0005860545206815004]"
2026-02-27T10:39:49.955,61,"[0.38042983412742615, -3.513340711593628, -6.369969844818115, 0.028484050184488297, 0.0359954908490181, 0.0005407743738032877]","[-1.6555615663528442, 0.42330116033554077, 3.1376912593841553, 0.024293476715683937, 0.015409422107040882, 0.0005612229579128325]"
2026-02-27T10:39:50.016,62,"[0.4091247320175171, -3.5086655616760254, -6.376767635345459, 0.02849649451673031, 0.03604356572031975, 0.00034406446502543986]","[-1.6507813930511475, 0.4770611524581909, 3.1396305561065674, 0.024299798533320427, 0.015462568961083889, 0.0005657232832163572]"
2026-02-27T10:39:50.076,63,"[0.3953617215156555, -3.505570650100708, -6.385756492614746, 0.028530089184641838, 0.036069344729185104, 0.00012547489313874394]","[-1.6398487091064453, 0.5413495302200317, 3.13881516456604, 0.024296864867210388, 0.015477491542696953, 0.0005056592053733766]"
2026-02-27T10:39:50.136,64,"[0.4803498685359955, -3.4951086044311523, -6.398889541625977, 0.028548672795295715, 0.03611550107598305, -0.00013379573647398502]","[-1.6139650344848633, 0.6336328983306885, 3.1351399421691895, 0.024276575073599815, 0.015461297705769539, 0.0003944138588849455]"
2026-02-27T10:39:50.196,65,"[0.6841459274291992, -3.46700382232666, -6.415135860443115, 0.028512118384242058, 0.03619280457496643, -0.0004588622832670808]","[-1.5734697580337524, 0.7371507287025452, 3.130324125289917, 0.024245604872703552, 0.015425148420035839, 0.0002373509923927486]"
2026-02-27T10:39:50.256,66,"[0.9691402316093445, -3.4049110412597656, -6.432616233825684, 0.028452405706048012, 0.03627760335803032, -0.000891911971848458]","[-1.5344620943069458, 0.7874526381492615, 3.1233561038970947, 0.024171022698283195, 0.015341976657509804, 7.286889740498737e-05]"
2026-02-27T10:39:50.317,67,"[1.4097270965576172, -3.2696659564971924, -6.487143039703369, 0.028513982892036438, 0.03658146783709526, -0.0009367801831103861]","[-1.4671112298965454, 0.9030355215072632, 3.120598077774048, 0.024143006652593613, 0.015304102562367916, -0.00016647065058350563]"
2026-02-27T10:39:50.377,68,"[0.912630558013916, -3.4680609703063965, -6.611192226409912, 0.022658968344330788, 0.038273874670267105, -0.0012442038860172033]","[-1.441672921180725, 1.0989254713058472, 3.2871739864349365, 0.02541450597345829, 0.01610492542386055, -0.0002806808042805642]"
2026-02-27T10:39:50.436,69,"[1.2147014141082764, -3.428656578063965, -6.757482528686523, 0.017982199788093567, 0.040004756301641464, -0.00291469506919384]","[-1.45244562625885, 1.1990742683410645, 3.4448089599609375, 0.026602955535054207, 0.016821376979351044, -0.0006146403029561043]"
2026-02-27T10:39:50.496,70,"[-2.4959335327148438, 1.7813268899917603, -6.6961894035339355, 0.014872624538838863, 0.03877341002225876, -0.0010993245523422956]","[-1.4511773586273193, 1.2674226760864258, 3.531907558441162, 0.027277540415525436, 0.01720917783677578, -0.0006641253712587059]"
2026-02-27T10:39:50.558,71,"[2.483386516571045, -2.833125591278076, -6.988789081573486, 0.011422412469983101, 0.04266254976391792, 0.001072355080395937]","[0.6702481508255005, -0.6914570331573486, 3.8792130947113037, 0.029612023383378983, 0.018887631595134735, 0.0012484105536714196]"
